timestamp,task_id,num_vms,cpu_req,mem_req,chosen_hw_type,accepted,energy_cost
727,12813,6,5,5.34089,3,1,0.00123968
727,12815,4,12,5.90959,3,1,0.00123968
727,12817,4,11,5.45914,2,1,0.00252921
727,12819,8,16,7.80892,3,1,0.00123968
727,12821,1,5,4.56641,4,1,0.00116975
727,12823,1,8,4.0652,2,1,0.00252921
727,12825,3,5,4.54893,2,1,0.00252921
727,12827,2,9,4.51916,2,1,0.00252921
727,12829,16,8,7.9957,2,1,0.00252921
727,12831,9,6,6.05173,3,1,0.00123968
727,12833,3,6,6.45056,4,1,0.00116975
727,12835,11,7,6.55021,3,1,0.00123968
728,12185,4,8,7.64659,4,1,0.0011714
728,12149,2,5,5.1111,4,1,0.00117141
728,12851,6,14,7.1324,2,1,0.00253378
728,12187,1,5,4.62672,4,1,0.0011714
728,12151,3,7,6.54285,4,1,0.00117141
728,12853,6,5,5.34089,3,1,0.00124178
728,12855,4,12,5.90959,3,1,0.00124178
728,12857,4,11,5.45914,2,1,0.00253378
728,12859,8,16,7.80892,3,1,0.00124178
728,12861,1,5,4.56641,4,1,0.00117135
728,12863,1,8,4.0652,2,1,0.00253378
728,12865,3,5,4.54893,2,1,0.00253378
728,12867,2,9,4.51916,2,1,0.00253378
728,12869,16,8,7.9957,2,1,0.00253378
728,12871,9,6,6.05173,3,1,0.00124178
728,12873,3,6,6.45056,4,1,0.00117135
728,12875,11,7,6.55021,3,1,0.00124178
729,12155,4,8,7.64659,4,1,0.00117301
729,12890,6,14,7.1324,2,1,0.00253837
729,12191,2,5,5.1111,4,1,0.00117301
729,12892,6,5,5.34089,3,1,0.00124388
729,12193,1,5,4.56641,4,1,0.00117301
729,12157,1,5,4.62672,4,1,0.00117301
729,12894,4,12,5.90959,3,1,0.00124388
729,12195,3,6,6.45056,4,1,0.00117301
729,12896,4,11,5.45914,2,1,0.00253837
729,12898,8,16,7.80892,3,1,0.00124388
729,12900,3,7,6.54285,4,1,0.00117295
729,12902,1,8,4.0652,2,1,0.00253837
729,12904,3,5,4.54893,2,1,0.00253837
729,12906,2,9,4.51916,2,1,0.00253837
729,12908,16,8,7.9957,2,1,0.00253837
729,12910,9,6,6.05173,3,1,0.00124388
729,12912,11,7,6.55021,3,1,0.00124388
730,12161,2,5,5.1111,4,1,0.00117462
730,12926,6,14,7.1324,2,1,0.00254295
730,12200,3,7,6.54285,4,1,0.00117461
730,12163,1,5,4.56641,4,1,0.00117462
730,12928,4,8,7.64659,4,1,0.00117456
730,12165,3,6,6.45056,4,1,0.00117462
730,12930,6,5,5.34089,3,1,0.00124598
730,12932,4,12,5.90959,3,1,0.00124598
730,12934,4,11,5.45914,2,1,0.00254295
730,12936,8,16,7.80892,3,1,0.00124598
730,12938,1,8,4.0652,2,1,0.00254295
730,12940,3,5,4.54893,2,1,0.00254295
730,12942,1,5,4.62672,4,1,0.00117456
730,12944,2,9,4.51916,2,1,0.00254295
730,12946,16,8,7.9957,2,1,0.00254295
730,12948,9,6,6.05173,3,1,0.00124598
730,12950,11,7,6.55021,3,1,0.00124598
731,12170,3,7,6.54285,4,1,0.00117622
731,12203,4,8,7.64659,4,1,0.00117621
731,12965,6,14,7.1324,2,1,0.00254754
731,12967,6,5,5.34089,3,1,0.00124809
731,12205,1,5,4.62672,4,1,0.00117621
731,12969,2,5,5.1111,4,1,0.00117616
731,12971,4,12,5.90959,3,1,0.00124809
731,12973,4,11,5.45914,2,1,0.00254754
731,12975,8,16,7.80892,3,1,0.00124809
731,12977,1,5,4.56641,4,1,0.00117616
731,12979,1,8,4.0652,2,1,0.00254754
731,12981,3,5,4.54893,2,1,0.00254754
731,12983,2,9,4.51916,2,1,0.00254754
731,12985,16,8,7.9957,2,1,0.00254754
731,12987,9,6,6.05173,3,1,0.00124809
731,12989,3,6,6.45056,4,1,0.00117616
731,12991,11,7,6.55021,3,1,0.00124809
732,13007,6,14,7.1324,2,1,0.00255214
732,12173,4,8,7.64659,4,1,0.00117782
732,12209,2,5,5.1111,4,1,0.00117782
732,13009,6,5,5.34089,3,1,0.00125021
732,12211,1,5,4.56641,4,1,0.00117782
732,12175,1,5,4.62672,4,1,0.00117782
732,13011,4,12,5.90959,3,1,0.00125021
732,12213,3,6,6.45056,4,1,0.00117782
732,13013,4,11,5.45914,2,1,0.00255214
732,13015,8,16,7.80892,3,1,0.00125021
732,13017,3,7,6.54285,4,1,0.00117776
732,13019,1,8,4.0652,2,1,0.00255214
732,13021,3,5,4.54893,2,1,0.00255214
732,13023,2,9,4.51916,2,1,0.00255214
