num_vms,cpu_req,mem_req,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,energy_kwh,chosen_hw_type,accepted
4,8.000000,7.646589,0.007704,0.000956,496148.000000,3196941.255911,24980.416049,99520.000000,0.000852,4,1
4,16.000000,7.808919,0.007832,0.000966,496084.000000,3196910.020235,24980.337960,99516.000000,0.001703,4,1
1,8.000000,4.065202,0.007848,0.000967,496076.000000,3196905.955033,24980.327797,99515.000000,0.000213,4,1
2,5.000000,4.548926,0.007868,0.000970,496066.000000,3196896.857180,24980.282307,99513.000000,0.000266,4,1
1,9.000000,4.519162,0.007886,0.000971,496057.000000,3196892.338019,24980.271009,99512.000000,0.000240,4,1
5,6.000000,6.051730,0.007946,0.000981,496027.000000,3196862.079371,24980.119716,99507.000000,0.000798,4,1
5,7.000000,6.550209,0.008016,0.000991,495992.000000,3196829.328325,24979.955961,99502.000000,0.000931,4,1
2,6.000000,5.600914,0.008040,0.000994,495980.000000,3196818.126496,24979.843943,99500.000000,0.000319,4,1
3,5.000000,5.340891,0.008070,0.000999,495965.000000,3196802.103823,24979.763829,99497.000000,0.000399,4,1
2,12.000000,5.909588,0.008118,0.001003,495941.000000,3196790.284647,24979.734281,99495.000000,0.000639,4,1
3,7.000000,6.542847,0.008160,0.001009,495920.000000,3196770.656106,24979.537996,99492.000000,0.000559,4,1
8,8.000000,7.995698,0.008288,0.001029,495856.000000,3196706.690522,24979.218168,99484.000000,0.001703,4,1
2,12.000000,5.974332,0.008336,0.001033,495832.000000,3196694.741858,24979.188296,99482.000000,0.000639,4,1
2,5.000000,5.170067,0.008356,0.001036,495822.000000,3196684.401724,24979.084895,99480.000000,0.000266,4,1
2,5.000000,5.133259,0.008376,0.001039,495812.000000,3196674.135206,24978.982230,99478.000000,0.000266,4,1
2,5.000000,5.111099,0.008396,0.001043,495802.000000,3196663.913008,24978.880008,99476.000000,0.000266,4,1
2,11.000000,5.459138,0.008440,0.001046,495780.000000,3196652.994732,24978.852712,99474.000000,0.000585,4,1
1,5.000000,4.566410,0.008450,0.001047,495775.000000,3196648.428322,24978.807048,99473.000000,0.000133,4,1
1,5.000000,4.626716,0.008460,0.001049,495770.000000,3196643.801606,24978.760781,99472.000000,0.000133,4,1
3,6.000000,6.450559,0.008496,0.001055,495752.000000,3196624.449928,24978.567264,99469.000000,0.000479,4,1
3,6.000000,6.106980,0.008532,0.001061,495734.000000,3196606.128988,24978.384055,99466.000000,0.000479,4,1
3,14.000000,7.132397,0.008616,0.001067,495692.000000,3196584.731797,24978.330562,99463.000000,0.001118,4,1
4,8.000000,7.646589,0.008680,0.001077,495660.000000,3196554.145439,24978.024698,99459.000000,0.000852,4,1
4,16.000000,7.808919,0.008808,0.001087,495596.000000,3196522.909764,24977.946609,99455.000000,0.001703,4,1
1,8.000000,4.065202,0.008824,0.001088,495588.000000,3196518.844561,24977.936446,99454.000000,0.000213,4,1
2,5.000000,4.548926,0.008844,0.001091,495578.000000,3196509.746709,24977.890957,99452.000000,0.000266,4,1
1,9.000000,4.519162,0.008862,0.001092,495569.000000,3196505.227547,24977.879659,99451.000000,0.000240,4,1
5,6.000000,6.051730,0.008922,0.001102,495539.000000,3196474.968899,24977.728366,99446.000000,0.000798,4,1
5,7.000000,6.550209,0.008992,0.001112,495504.000000,3196442.217854,24977.564610,99441.000000,0.000931,4,1
2,6.000000,5.600914,0.009016,0.001115,495492.000000,3196431.016025,24977.452592,99439.000000,0.000319,4,1
3,5.000000,5.340891,0.009046,0.001120,495477.000000,3196414.993352,24977.372479,99436.000000,0.000399,4,1
2,12.000000,5.909588,0.009094,0.001124,495453.000000,3196403.174175,24977.342931,99434.000000,0.000639,4,1
3,7.000000,6.542847,0.009136,0.001130,495432.000000,3196383.545635,24977.146645,99431.000000,0.000559,4,1
8,8.000000,7.995698,0.009264,0.001150,495368.000000,3196319.580050,24976.826817,99423.000000,0.001703,4,1
2,12.000000,5.974332,0.009312,0.001154,495344.000000,3196307.631386,24976.796946,99421.000000,0.000639,4,1
2,5.000000,5.170067,0.009332,0.001157,495334.000000,3196297.291252,24976.693544,99419.000000,0.000266,4,1
2,5.000000,5.133259,0.009352,0.001160,495324.000000,3196287.024734,24976.590879,99417.000000,0.000266,4,1
2,5.000000,5.111099,0.009372,0.001163,495314.000000,3196276.802536,24976.488657,99415.000000,0.000266,4,1
2,11.000000,5.459138,0.009416,0.001167,495292.000000,3196265.884260,24976.461362,99413.000000,0.000585,4,1
1,5.000000,4.566410,0.009426,0.001168,495287.000000,3196261.317850,24976.415698,99412.000000,0.000133,4,1
1,5.000000,4.626716,0.009436,0.001170,495282.000000,3196256.691134,24976.369430,99411.000000,0.000133,4,1
