timestamp,task_id,num_vms,cpu_req,mem_req,chosen_cell,chosen_hw_type,accepted,util_cpu_before,util_mem_before,avail_cpu_before,avail_mem_before,avail_storage_before,avail_accelerators_before,energy_kwh,processing_time_sec
603,10197,2,5,5.1111,0,1,1,0.03631,0.00555074,481845,3.18224e+06,24822.4,97200,0,0
603,10248,4,11,5.45914,0,1,1,0.247922,0.0283273,376039,3.10935e+06,24626.4,86208,0,0
603,10199,8,16,7.80892,0,1,1,0.25425,0.0290269,372875,3.10711e+06,24618.1,85987,0,0
603,10250,3,7,6.54285,0,1,1,0.036826,0.00562408,481587,3.182e+06,24820,97173,0,0
603,10201,1,5,4.56641,0,1,1,0.03632,0.00555217,481840,3.18223e+06,24822.3,97199,0,0
603,10252,1,8,4.0652,0,1,1,0.247938,0.0283285,376031,3.10935e+06,24626.4,86207,0,0
603,10203,1,5,4.62672,0,1,1,0.03633,0.00555361,481835,3.18223e+06,24822.3,97198,0,0
603,10254,3,5,4.54893,0,1,1,0.247968,0.0283328,376016,3.10934e+06,24626.3,86204,0,0
603,10205,2,9,4.51916,0,1,1,0.254286,0.0290298,372857,3.1071e+06,24618.1,85985,0,0
603,10256,3,6,6.45056,0,1,1,0.036862,0.00563013,481569,3.18198e+06,24819.8,97170,0,0
603,10207,16,8,7.9957,0,1,1,0.254542,0.0290697,372729,3.10698e+06,24617.4,85969,0,0
603,10258,11,7,6.55021,0,1,1,0.248122,0.0283553,375939,3.10926e+06,24625.9,86193,0,0
603,10209,9,6,6.05173,0,1,1,0.25465,0.0290868,372675,3.10692e+06,24617.2,85960,0,0
604,10220,6,14,7.1324,0,1,1,0.254818,0.0291001,372591,3.10688e+06,24617.1,85954,0,0
604,10268,6,5,5.34089,0,1,1,0.248182,0.0283653,375909,3.10923e+06,24625.8,86187,0,0
604,10270,2,5,5.1111,0,1,1,0.036882,0.00563333,481559,3.18197e+06,24819.7,97168,0,0
604,10222,4,8,7.64659,0,1,1,0.036394,0.00556317,481803,3.1822e+06,24822,97194,0,0
604,10272,1,5,4.56641,0,1,1,0.036892,0.00563475,481554,3.18197e+06,24819.7,97167,0,0
604,10224,4,12,5.90959,0,1,1,0.254914,0.0291075,372543,3.10686e+06,24617,85950,0,0
604,10274,3,5,4.54893,0,1,1,0.248212,0.0283696,375894,3.10922e+06,24625.7,86184,0,0
604,10226,4,11,5.45914,0,1,1,0.255002,0.0291143,372499,3.10683e+06,24616.9,85946,0,0
604,10276,1,5,4.62672,0,1,1,0.036902,0.0056362,481549,3.18196e+06,24819.6,97166,0,0
604,10228,8,16,7.80892,0,1,1,0.255258,0.0291339,372371,3.10677e+06,24616.8,85938,0,0
604,10278,16,8,7.9957,0,1,1,0.248468,0.0284096,375766,3.10909e+06,24625.1,86168,0,0
604,10230,3,7,6.54285,0,1,1,0.036436,0.0055693,481782,3.18218e+06,24821.8,97191,0,0
604,10232,1,8,4.0652,0,1,1,0.255274,0.0291351,372363,3.10677e+06,24616.8,85937,0,0
604,10234,2,9,4.51916,0,1,1,0.25531,0.029138,372345,3.10676e+06,24616.7,85935,0,0
